year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1933,lv,"London, Midland and Scottish Railway Order Confirmation Act 1933",https://www.legislation.gov.uk/ukla/Geo5/23-24/55/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/55/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/55/pdfs/ukla_19330055_en.pdf,UK Local Acts,Local,True,True,True
1933,liv,Grampian Electricity Supply Order Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/54/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/54/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/54/pdfs/ukla_19330054_en.pdf,UK Local Acts,Local,True,True,True
1933,53,Road and Rail Traffic Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/53/contents,https://www.legislation.gov.uk/ukpga/Geo5/23-24/53/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/53/pdfs/ukpga_19330053_en.pdf,UK Public General Acts,General,True,True,True
1933,liii,Pier and Harbour Orders (Elgin and Lossiemouth and Southwold) Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/53/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/53/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/53/pdfs/ukla_19330053_en.pdf,UK Local Acts,Local,True,True,True
1933,52,Protection of Birds Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/52/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/52/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/52/pdfs/ukpga_19330052_en.pdf,UK Public General Acts,General,True,True,True
1933,lii,Burghead Burgh and Harbour Order Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/52/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/52/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/52/pdfs/ukla_19330052_en.pdf,UK Local Acts,Local,True,True,True
1933,51,Local Government Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/51/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/51/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/51/pdfs/ukpga_19330051_en.pdf,UK Public General Acts,General,True,True,True
1933,li,Leith Harbour and Docks Order Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/51/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/51/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/51/pdfs/ukla_19330051_en.pdf,UK Local Acts,Local,True,True,True
1933,51,Local Government Act 1933,https://www.legislation.gov.uk/ukpga/1933/51/contents/enacted,,,UK Public General Acts,General,False,False,False
1933,50,Firearms and Imitation Firearms (Criminal Use) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/50/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/50/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/50/pdfs/ukpga_19330050_en.pdf,UK Public General Acts,General,True,True,True
1933,l,Aberdeen Harbour (Rates) Order Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/50/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/50/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/50/pdfs/ukla_19330050_en.pdf,UK Local Acts,Local,True,True,True
1933,49,British Nationality and Status of Aliens Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/49/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/49/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/49/pdfs/ukpga_19330049_en.pdf,UK Public General Acts,General,True,True,True
1933,xlix,Dundee Harbour and Tay Ferries Order Confirmation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/49/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/49/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/49/pdfs/ukla_19330049_en.pdf,UK Local Acts,Local,True,True,True
1933,48,Expiring Laws Continuance Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/48/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/48/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/48/pdfs/ukpga_19330048_en.pdf,UK Public General Acts,General,True,True,True
1933,xlviii,London County Council (Money) Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/48/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/48/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/48/pdfs/ukla_19330048_en.pdf,UK Local Acts,Local,True,True,True
1933,47,Superannuation (Ecclesiastical Commissioners and Queen Anne's Bounty) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/47/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/47/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/47/pdfs/ukpga_19330047_en.pdf,UK Public General Acts,General,True,True,True
1933,xlvii,Southern Railway Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/47/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/47/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/47/pdfs/ukla_19330047_en.pdf,UK Local Acts,Local,True,True,True
1933,46,Electricity (Supply) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/46/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/46/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/46/pdfs/ukpga_19330046_en.pdf,UK Public General Acts,General,True,True,True
1933,xlvi,Dearne District Traction Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/46/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/46/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/46/pdfs/ukla_19330046_en.pdf,UK Local Acts,Local,True,True,True
1933,46,Electricity (Supply) Act 1933,https://www.legislation.gov.uk/ukpga/1933/46/contents/enacted,,,UK Public General Acts,General,False,False,False
1933,45,Sea-Fishing Industry Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/45/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/45/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/45/pdfs/ukpga_19330045_en.pdf,UK Public General Acts,General,True,True,True
1933,xlv,Essex County Council Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/45/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/45/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/45/pdfs/ukla_19330045_en.pdf,UK Local Acts,Local,True,True,True
1933,44,Church of Scotland (Property and Endowments) (Amendment) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/44/contents,https://www.legislation.gov.uk/ukpga/Geo5/23-24/44/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/44/pdfs/ukpga_19330044_en.pdf,UK Public General Acts,General,True,True,True
1933,xliv,"London Overground Wires, etc. Act 1933",https://www.legislation.gov.uk/ukla/Geo5/23-24/44/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/44/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/44/pdfs/ukla_19330044_en.pdf,UK Local Acts,Local,True,True,True
1933,43,Local Government and other Officers Superannuation (Temporary Provisions) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/43/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/43/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/43/pdfs/ukpga_19330043_en.pdf,UK Public General Acts,General,True,True,True
1933,xliii,Commercial Gas Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/43/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/43/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/43/pdfs/ukla_19330043_en.pdf,UK Local Acts,Local,True,True,True
1933,42,Service of Process (Justices) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/42/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/42/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/42/pdfs/ukpga_19330042_en.pdf,UK Public General Acts,General,True,True,True
1933,xlii,Worksop Corporation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/42/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/42/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/42/pdfs/ukla_19330042_en.pdf,UK Local Acts,Local,True,True,True
1933,41,Administration of Justice (Scotland) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/41/contents,https://www.legislation.gov.uk/ukpga/Geo5/23-24/41/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/41/pdfs/ukpga_19330041_en.pdf,UK Public General Acts,General,True,True,True
1933,xli,Rugby Corporation Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/41/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/41/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/41/pdfs/ukla_19330041_en.pdf,UK Local Acts,Local,True,True,True
1933,40,Isle of Man (Customs) Act 1933,https://www.legislation.gov.uk/ukpga/Geo5/23-24/40/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/23-24/40/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/23-24/40/pdfs/ukpga_19330040_en.pdf,UK Public General Acts,General,True,True,True
1933,xl,Sidmouth Urban District Council Act 1933,https://www.legislation.gov.uk/ukla/Geo5/23-24/40/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/23-24/40/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/23-24/40/pdfs/ukla_19330040_en.pdf,UK Local Acts,Local,True,True,True
