year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1997,69,Supreme Court (Offices) Act 1997 (repealed),https://www.legislation.gov.uk/ukpga/1997/69/contents,https://www.legislation.gov.uk/ukpga/1997/69/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/69/pdfs/ukpga_19970069_en.pdf,UK Public General Acts,General,True,True,True
1997,68,Special Immigration Appeals Commission Act 1997,https://www.legislation.gov.uk/ukpga/1997/68/contents,https://www.legislation.gov.uk/ukpga/1997/68/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/68/pdfs/ukpga_19970068_en.pdf,UK Public General Acts,General,True,True,True
1997,67,Consolidated Fund (No. 2) Act 1997 (repealed 15.7.1999),https://www.legislation.gov.uk/ukpga/1997/67/contents,https://www.legislation.gov.uk/ukpga/1997/67/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/67/pdfs/ukpga_19970067_en.pdf,UK Public General Acts,General,True,True,True
1997,66,Plant Varieties Act 1997,https://www.legislation.gov.uk/ukpga/1997/66/contents,https://www.legislation.gov.uk/ukpga/1997/66/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/66/pdfs/ukpga_19970066_en.pdf,UK Public General Acts,General,True,True,True
1997,65,Local Government (Contracts) Act 1997,https://www.legislation.gov.uk/ukpga/1997/65/contents,https://www.legislation.gov.uk/ukpga/1997/65/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/65/pdfs/ukpga_19970065_en.pdf,UK Public General Acts,General,True,True,True
1997,64,Firearms (Amendment) (No. 2) Act 1997,https://www.legislation.gov.uk/ukpga/1997/64/contents,https://www.legislation.gov.uk/ukpga/1997/64/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/64/pdfs/ukpga_19970064_en.pdf,UK Public General Acts,General,True,True,True
1997,63,Local Government Finance (Supplementary Credit Approvals) Act 1997 (repealed),https://www.legislation.gov.uk/ukpga/1997/63/contents,https://www.legislation.gov.uk/ukpga/1997/63/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/63/pdfs/ukpga_19970063_en.pdf,UK Public General Acts,General,True,True,True
1997,62,Ministerial and other Salaries Act 1997,https://www.legislation.gov.uk/ukpga/1997/62/contents,https://www.legislation.gov.uk/ukpga/1997/62/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/62/pdfs/ukpga_19970062_en.pdf,UK Public General Acts,General,True,True,True
1997,61,Referendums (Scotland and Wales) Act 1997,https://www.legislation.gov.uk/ukpga/1997/61/contents,https://www.legislation.gov.uk/ukpga/1997/61/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/61/pdfs/ukpga_19970061_en.pdf,UK Public General Acts,General,True,True,True
1997,60,Law Officers Act 1997,https://www.legislation.gov.uk/ukpga/1997/60/contents,https://www.legislation.gov.uk/ukpga/1997/60/contents?view=plain,https://www.legislation.gov.uk/ukpga/1997/60/pdfs/ukpga_19970060_en.pdf,UK Public General Acts,General,True,True,True
