year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1936,cxiv,Solihull Urban District Council Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/114/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/114/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/114/pdfs/ukla_19360114_en.pdf,UK Local Acts,Local,True,True,True
1936,cxiii,Hereford Corporation Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/113/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/113/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/113/pdfs/ukla_19360113_en.pdf,UK Local Acts,Local,True,True,True
1936,cxii,Dalton-in-Furness Urban District Council Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/112/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/112/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/112/pdfs/ukla_19360112_en.pdf,UK Local Acts,Local,True,True,True
1936,cxi,Wolverhampton Corporation Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/111/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/111/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/111/pdfs/ukla_19360111_en.pdf,UK Local Acts,Local,True,True,True
1936,cx,Thornton Cleveleys Improvement Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/110/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/110/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/110/pdfs/ukla_19360110_en.pdf,UK Local Acts,Local,True,True,True
1936,cix,Coventry Corporation Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/109/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/109/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/109/pdfs/ukla_19360109_en.pdf,UK Local Acts,Local,True,True,True
1936,cviii,"London and Middlesex (Improvements, &c.) Act 1936",https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/108/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/108/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/108/pdfs/ukla_19360108_en.pdf,UK Local Acts,Local,True,True,True
1936,cvii,Wrexham and East Denbighshire Water Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/107/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/107/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/107/pdfs/ukla_19360107_en.pdf,UK Local Acts,Local,True,True,True
1936,cvi,South Suburban Gas Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/106/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/106/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/106/pdfs/ukla_19360106_en.pdf,UK Local Acts,Local,True,True,True
1936,cv,South Metropolitan Gas Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/105/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/105/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/105/pdfs/ukla_19360105_en.pdf,UK Local Acts,Local,True,True,True
1936,civ,Gas Light and Coke Company's (No. 1) Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/104/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/104/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/104/pdfs/ukla_19360104_en.pdf,UK Local Acts,Local,True,True,True
1936,ciii,London County Council (Money) Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/103/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/103/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/103/pdfs/ukla_19360103_en.pdf,UK Local Acts,Local,True,True,True
1936,cii,York Gas Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/102/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/102/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/102/pdfs/ukla_19360102_en.pdf,UK Local Acts,Local,True,True,True
1936,ci,Great Western Railway (Additional Powers) Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/101/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/101/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/101/pdfs/ukla_19360101_en.pdf,UK Local Acts,Local,True,True,True
1936,c,Epsom and Walton Downs Regulation Act 1936,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/100/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/100/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5and1Edw8/26/100/pdfs/ukla_19360100_en.pdf,UK Local Acts,Local,True,True,True
