year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
2021,35,Armed Forces Act 2021,https://www.legislation.gov.uk/ukpga/2021/35/contents,https://www.legislation.gov.uk/ukpga/2021/35/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/35/pdfs/ukpga_20210035_en.pdf,UK Public General Acts,General,True,True,True
2021,34,Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021,https://www.legislation.gov.uk/ukpga/2021/34/contents,https://www.legislation.gov.uk/ukpga/2021/34/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/34/pdfs/ukpga_20210034_en.pdf,UK Public General Acts,General,True,True,True
2021,33,Critical Benchmarks (References and Administrators' Liability) Act 2021,https://www.legislation.gov.uk/ukpga/2021/33/contents,https://www.legislation.gov.uk/ukpga/2021/33/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/33/pdfs/ukpga_20210033_en.pdf,UK Public General Acts,General,True,True,True
2021,32,Social Security (Up-rating of Benefits) Act 2021,https://www.legislation.gov.uk/ukpga/2021/32/contents,https://www.legislation.gov.uk/ukpga/2021/32/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/32/pdfs/ukpga_20210032_en.pdf,UK Public General Acts,General,True,True,True
2021,31,Telecommunications (Security) Act 2021,https://www.legislation.gov.uk/ukpga/2021/31/contents,https://www.legislation.gov.uk/ukpga/2021/31/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/31/pdfs/ukpga_20210031_en.pdf,UK Public General Acts,General,True,True,True
2021,30,Environment Act 2021,https://www.legislation.gov.uk/ukpga/2021/30/contents,https://www.legislation.gov.uk/ukpga/2021/30/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/30/pdfs/ukpga_20210030_en.pdf,UK Public General Acts,General,True,True,True
2021,29,Compensation (London Capital & Finance plc and Fraud Compensation Fund) Act 2021,https://www.legislation.gov.uk/ukpga/2021/29/contents,https://www.legislation.gov.uk/ukpga/2021/29/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/29/pdfs/ukpga_20210029_en.pdf,UK Public General Acts,General,True,True,True
2021,28,Health and Social Care Levy Act 2021 (repealed),https://www.legislation.gov.uk/ukpga/2021/28/contents,https://www.legislation.gov.uk/ukpga/2021/28/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/28/pdfs/ukpga_20210028_en.pdf,UK Public General Acts,General,True,True,True
2021,27,Supply and Appropriation (Main Estimates) Act 2021,https://www.legislation.gov.uk/ukpga/2021/27/contents,https://www.legislation.gov.uk/ukpga/2021/27/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/27/pdfs/ukpga_20210027_en.pdf,UK Public General Acts,General,True,True,True
2021,26,Finance Act 2021,https://www.legislation.gov.uk/ukpga/2021/26/contents,https://www.legislation.gov.uk/ukpga/2021/26/contents?view=plain,https://www.legislation.gov.uk/ukpga/2021/26/pdfs/ukpga_20210026_en.pdf,UK Public General Acts,General,True,True,True
