year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1915,cix,Glasgow Celluloid Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/109/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/109/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/109/pdfs/ukla_19150109_en.pdf,UK Local Acts,Local,True,True,True
1915,cviii,"London County Council (Celluloid, &c.) Act 1915",https://www.legislation.gov.uk/ukla/Geo5/5-6/108/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/108/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/108/pdfs/ukla_19150108_en.pdf,UK Local Acts,Local,True,True,True
1915,cvii,Port Dundas Church and Parish Quoad Sacra Glasgow Order Confirmation Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/107/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/107/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/107/pdfs/ukla_19150107_en.pdf,UK Local Acts,Local,True,True,True
1915,cvi,Dundee Corporation Order Confirmation Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/106/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/106/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/106/pdfs/ukla_19150106_en.pdf,UK Local Acts,Local,True,True,True
1915,cv,Glasgow Water Order Confirmation Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/105/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/105/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/105/pdfs/ukla_19150105_en.pdf,UK Local Acts,Local,True,True,True
1915,civ,London County Council (Tramways and Improvements) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/104/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/104/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/104/pdfs/ukla_19150104_en.pdf,UK Local Acts,Local,True,True,True
1915,ciii,London County Council (General Powers) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/103/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/103/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/103/pdfs/ukla_19150103_en.pdf,UK Local Acts,Local,True,True,True
1915,cii,Clackmannan County Water Order Confirmation Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/102/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/102/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/102/pdfs/ukla_19150102_en.pdf,UK Local Acts,Local,True,True,True
1915,c,"Education Board Provisional Orders Confirmation (Derbyshire, &c.) Act 1915",https://www.legislation.gov.uk/ukla/Geo5/5-6/100/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/100/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/100/pdfs/ukla_19150100_en.pdf,UK Local Acts,Local,True,True,True
1915,xcix,Pier and Harbour Orders Confirmation (No. 2) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/99/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/99/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/99/pdfs/ukla_19150099_en.pdf,UK Local Acts,Local,True,True,True
1915,98,Trading with the Enemy (Extension of Powers) Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/98/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/5-6/98/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/98/pdfs/ukpga_19150098_en.pdf,UK Public General Acts,General,True,True,True
1915,xcviii,Pier and Harbour Orders Confirmation (No. 1) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/98/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/98/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/98/pdfs/ukla_19150098_en.pdf,UK Local Acts,Local,True,True,True
1915,xcvii,Gas and Water Orders Confirmation (No. 3) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/97/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/97/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/97/pdfs/ukla_19150097_en.pdf,UK Local Acts,Local,True,True,True
1915,96,Government War Obligations Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/96/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/5-6/96/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/96/pdfs/ukpga_19150096_en.pdf,UK Public General Acts,General,True,True,True
1915,xcvi,Gas and Water Orders Confirmation (No. 2) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/96/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/96/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/96/pdfs/ukla_19150096_en.pdf,UK Local Acts,Local,True,True,True
1915,95,Education (Small Population Grants) Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/95/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/5-6/95/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/95/pdfs/ukpga_19150095_en.pdf,UK Public General Acts,General,True,True,True
1915,xcv,Gas and Water Orders Confirmation (No. 1) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/95/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/95/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/95/pdfs/ukla_19150095_en.pdf,UK Local Acts,Local,True,True,True
1915,94,Evidence (Amendment) Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/94/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/5-6/94/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/94/pdfs/ukpga_19150094_en.pdf,UK Public General Acts,General,True,True,True
1915,xciv,Local Government Board's Provisional Orders Confirmation (No. 9) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/94/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/94/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/94/pdfs/ukla_19150094_en.pdf,UK Local Acts,Local,True,True,True
1915,93,War Loan (Supplemental Provisions) Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/93/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo5/5-6/93/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/93/pdfs/ukpga_19150093_en.pdf,UK Public General Acts,General,True,True,True
1915,xciii,Local Government Board's Provisional Orders Confirmation (No. 8) Act 1915,https://www.legislation.gov.uk/ukla/Geo5/5-6/93/contents/enacted,https://www.legislation.gov.uk/ukla/Geo5/5-6/93/contents?view=plain,https://www.legislation.gov.uk/ukla/Geo5/5-6/93/pdfs/ukla_19150093_en.pdf,UK Local Acts,Local,True,True,True
1915,92,Judicial Committee Act 1915,https://www.legislation.gov.uk/ukpga/Geo5/5-6/92/contents,https://www.legislation.gov.uk/ukpga/Geo5/5-6/92/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo5/5-6/92/pdfs/ukpga_19150092_en.pdf,UK Public General Acts,General,True,True,True
